New_cases	New_Deaths	Corruption	Gov_eff	Poli_stability	Rule_of_Law	Government_Healthcare_Spend	Population	Death_percent	Case_percent
57828.0	513.0	-0.01489036567069892	-0.17553991951685174	0.12288651818182184	-0.10168812943419735	0.4536201128417023	0.0	inf	inf
39548.0	1469.0	-1.4966479999999944	-1.4572850000000086	-2.746729999999992	-1.6684779999999944	0.050958189999999744	38041754.0	0.0038615464470959987	0.10395945465606028
14568.0	403.0	-0.5218667000000008	0.1147880000000005	0.3820999999999994	-0.39224299999999884	0.0	2854191.0	0.014119587651982646	0.5104073273302312
52399.0	1773.0	-0.636464999999997	-0.4439246000000018	-0.7937848999999977	-0.775308899999999	0.6595469000000015	43053054.0	0.004118174752480974	0.12170797453764837
2370.0	53.0	1.2386140000000048	1.9449759999999972	1.4254320000000005	1.6077379999999997	0.49031990000000186	77142.0	0.06870446708667134	3.072256358403982
5725.0	211.0	-1.1445410000000023	-1.052086000000002	-0.3190348999999988	-1.0480230000000004	0.4627864999999979	31825295.0	0.000662994639955419	0.017988835610164806
108.0	3.0	0.2766346000000008	-0.00600959999999999	0.7261431999999981	0.39332579999999956	0.4703499000000013	97118.0	0.003089025721287506	0.11120492596635022
824455.0	21827.0	-0.08346749999999989	0.02598779999999999	0.019931899999999968	-0.24000780000000063	0.7243212000000003	44938712.0	0.04857059543673615	1.8346208943416091
53083.0	990.0	-0.3491127000000017	-0.02433939999999989	-0.4187802999999981	-0.1500261999999994	0.13244669999999983	2957731.0	0.03347160373948814	1.7947203447507565
27174.0	895.0	1.8062009999999908	1.5964950000000036	0.9765740999999951	1.7152790000000064	0.6891285000000021	25364307.0	0.0035285805364207268	0.10713480167228696
50435.0	840.0	1.596262000000009	1.4533420000000061	0.9175232000000036	1.8758339999999996	0.7239254000000043	8877067.0	0.00946258488304752	0.5681493673529782
40931.0	600.0	-0.8286031000000031	-0.10046739999999964	-0.6967330999999974	-0.6002175999999995	0.15107319999999952	10023318.0	0.005986041747852358	0.4083577913022414
4559.0	100.0	1.1311019999999987	0.5391498999999985	0.8721167	0.09699469999999984	0.4386956000000016	389482.0	0.025675127477007925	1.1705290616767914
73476.0	262.0	-0.14728670000000013	0.17987740000000052	-0.8404424000000005	0.4127088000000013	0.5797814000000014	1641172.0	0.015964201192806116	4.477044453597795
371631.0	5405.0	-0.9050215000000018	-0.7483992999999995	-1.032479999999999	-0.6402364000000023	0.1669334000000003	163046161.0	0.003315012121015226	0.22792992961054753
200.0	7.0	1.411373000000001	0.4269726999999984	0.9214329000000038	0.3949094000000017	0.44200890000000065	287025.0	0.002438811950178556	0.06968034143367302
81090.0	868.0	-0.19227560000000052	-0.30103029999999886	0.35353189999999757	-0.8329659000000033	0.6996361999999955	9466856.0	0.009168830707892884	0.8565673756947396
134197.0	10092.0	1.5102790000000088	1.1717479999999976	0.4123560000000018	1.3679000000000048	0.7721739000000045	11484055.0	0.08787836700538268	1.1685506556699703
2243.0	34.0	-0.13819200000000006	-0.5938883999999982	0.01567270000000006	-0.8239539999999974	0.6797633000000013	390353.0	0.008710064992455547	0.574608111119935
2357.0	41.0	-0.3833743999999994	-0.5659866000000014	-0.13242100000000054	-0.6751704000000003	0.2998447000000009	11801151.0	0.0003474237385827874	0.01997262809364951
300.0	0.0	1.6465140000000047	0.3588973000000001	1.1046049999999983	0.5520925999999983	0.7451843000000027	763092.0	0.0	0.0393137393656335
137468.0	8156.0	-0.6259100000000017	-0.32209939999999937	-0.24284109999999973	-1.149619999999999	0.6852770000000008	11513100.0	0.0708410419435252	1.1940137756121287
28710.0	903.0	-0.5718023000000014	-0.6185397999999972	-0.39232420000000023	-0.23321109999999892	0.7048747999999991	3301000.0	0.02735534686458649	0.8697364435019691
3172.0	16.0	0.7505108000000006	0.33344110000000127	0.9791562000000031	0.4664786000000011	0.7565960000000015	2303697.0	0.0006945357831346743	0.1376917190064492
4969141.0	147494.0	-0.41969559999999806	-0.4474373999999986	-0.35701760000000177	-0.2776436	0.41879380000000216	211049527.0	0.06988596567667267	2.354490469907568
146.0	3.0	0.7953076999999972	1.2527139999999986	1.2011489999999938	0.6292500999999969	0.9482337999999976	433285.0	0.0006923849198564456	0.03369606609968035
22306.0	862.0	-0.15153349999999954	0.2718757000000009	0.41963859999999925	-0.029567000000000065	0.5186407999999999	6975761.0	0.012357074733495026	0.3197643955978423
2197.0	59.0	-0.1123949999999996	-0.5783428999999984	-1.0409070000000027	-0.4455683000000011	0.43301929999999894	20321378.0	0.0002903346416763666	0.010811274707847077
514.0	1.0	-1.450633000000003	-1.419982000000003	-1.5979510000000008	-1.4966109999999986	0.24713930000000048	11530580.0	8.672590624235728e-06	0.004457711580857164
280.0	0.0	-1.325572000000004	-0.568605	0.10822900000000057	-1.1146709999999926	0.23801850000000085	16486542.0	0.0	0.0016983549370146874
20924.0	420.0	-1.1497479999999953	-0.7996524999999995	-1.3759800000000018	-1.0796620000000055	0.13317580000000004	25876380.0	0.0016231018403656153	0.08086138787573842
171323.0	9530.0	1.8735139999999997	1.7161080000000077	0.9911885999999932	1.770795000000009	0.7371864000000045	37589262.0	0.025352985115802487	0.45577643955872293
6518.0	69.0	0.7682195999999997	0.3192392999999996	0.7472336999999998	0.44545680000000126	0.6024472999999979	549935.0	0.012546937365324994	1.1852309818433087
4852.0	62.0	-1.2333950000000014	-1.7204169999999979	-2.2812609999999878	-1.6876920000000062	0.12822630000000043	4745185.0	0.0013065876251400102	0.10225101866418275
